Team_ID,Team_Name,Player_ID,Player_Name,Draft_Pick
1,Scrennys Soldiers,1196,Mark Blicavs,1
1,Scrennys Soldiers,832,Ned Reeves,2
1,Scrennys Soldiers,979,Rory Laird,3
1,Scrennys Soldiers,1102,Charlie Curnow,4
1,Scrennys Soldiers,967,Oscar Allen,5
1,Scrennys Soldiers,1114,Sam Walsh,6
1,Scrennys Soldiers,68,Tom Hawkins,7
1,Scrennys Soldiers,901,Rowan Marshall,8
1,Scrennys Soldiers,1029,Toby Nankervis,9
1,Scrennys Soldiers,937,Marcus Bontempelli,10
1,Scrennys Soldiers,990,Izak Rankine,11
1,Scrennys Soldiers,950,Cody Weightman,12
1,Scrennys Soldiers,1069,Chad Warner,13
1,Scrennys Soldiers,1040,Josh Rachele,14
1,Scrennys Soldiers,857,Hayden Young,15
1,Scrennys Soldiers,1040,Josh Kelly,16
1,Scrennys Soldiers,1063,Joel Amartey,17
1,Scrennys Soldiers,825,Lloyd Meek,18
2,Scotts Tots,1040,Zac Williams,1
2,Scotts Tots,796,Jarrod Witts,2
2,Scotts Tots,859,Josh Treacy,3
2,Scotts Tots,1137,Tom Green,4
2,Scotts Tots,127,Patrick Dangerfield,5
2,Scotts Tots,867,Joe Daniher,6
2,Scotts Tots,813,Ned Moyle,7
2,Scotts Tots,1830,Will Ashcroft,8
2,Scotts Tots,799,Touk Miller,9
2,Scotts Tots,944,Aaron Naughton,10
2,Scotts Tots,1360,Peter Wright,11
2,Scotts Tots,1036,Shai Bolton,12
2,Scotts Tots,1072,Logan McDonald,13
2,Scotts Tots,758,Darcy Cameron,14
2,Scotts Tots,1475,Luke Davies-Uniacke,15
2,Scotts Tots,355,Todd Goldstein,16
2,Scotts Tots,1065,James Rowbottom,17
2,Scotts Tots,723,Zach Merrett,18
3,ROBbed,1578,Max King,1
3,ROBbed,1135,Toby Bedford,2
3,ROBbed,981,Reilly O'Brien,3
3,ROBbed,874,Josh Dunkley,4
3,ROBbed,856,Caleb Serong,5
3,ROBbed,1550,Ben King,6
3,ROBbed,1122,Jesse Hogan,7
3,ROBbed,925,Tom Atkins,8
3,ROBbed,1132,Kieren Briggs,9
3,ROBbed,1056,Tom Papley,10
3,ROBbed,1093,Jacob Van Rooyen,11
3,ROBbed,1015,Zak Butters,12
3,ROBbed,753,Jordan De Goey,13
3,ROBbed,1087,Kysaiah Pickett,14
3,ROBbed,833,Jai Newcombe,15
3,ROBbed,1673,Finn Callaghan,16
3,ROBbed,1718,Aaron Cadman,17
3,ROBbed,765,Finlay Macrae,18
4,Le Mallards,1025,Jason Horne-Francis,1
4,Le Mallards,1040,Tim English,2
4,Le Mallards,1040,Tom Liberatore,3
4,Le Mallards,1011,Todd Marshall,4
4,Le Mallards,649,Stephen Coniglio,5
4,Le Mallards,891,Brad Crouch,6
4,Le Mallards,1109,Adam Cerra,7
4,Le Mallards,1100,Marc Pittonet,8
4,Le Mallards,1006,Jeremy Finlayson,9
4,Le Mallards,829,Will Day,10
4,Le Mallards,986,Darcy Fogarty,11
4,Le Mallards,766,Jack Ginnivan,12
4,Le Mallards,1482,Jake Waterman,13
4,Le Mallards,1209,Jake Stringer,14
4,Le Mallards,682,Lachie Neale,15
4,Le Mallards,78,Cameron Guthrie,16
4,Le Mallards,893,Tim Membrey,17
4,Le Mallards,686,Jack Crisp,18
5,Clarries Cookers,1795,Alex Davies,1
5,Clarries Cookers,1040,Riley Thilthorpe,2
5,Clarries Cookers,1457,Sean Darcy,3
5,Clarries Cookers,648,Jeremy Cameron,4
5,Clarries Cookers,651,Toby Greene,5
5,Clarries Cookers,896,Jack Steele,6
5,Clarries Cookers,1081,Clayton Oliver,7
5,Clarries Cookers,1035,Tim Taranto,8
5,Clarries Cookers,779,Tristan Xerri,9
